Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,"6,068",65,20,0.12,0.029,11.0,0.9,5.4967,170.9
10%,"6,068",65,30,0.11,0.029,11.0,0.9,5.4967,158.7
10%,"6,068",70,20,0.12,0.029,11.0,0.9,5.4967,159.7
10%,"6,068",70,30,0.11,0.029,11.0,0.9,5.4967,148.5
10%,"6,068",75,20,0.12,0.029,11.0,0.9,5.4967,150.1
10%,"6,068",75,30,0.11,0.029,11.0,0.9,5.4967,139.6
10%,"4,018",65,20,0.12,0.029,13.0,0.9,5.4967,119.9
10%,"4,018",65,30,0.11,0.029,13.0,0.9,5.4967,111.9
10%,"4,018",70,20,0.12,0.029,13.0,0.9,5.4967,112.5
10%,"4,018",70,30,0.11,0.029,13.0,0.9,5.4967,105.0
10%,"4,018",75,20,0.12,0.029,13.0,0.9,5.4967,106.1
10%,"4,018",75,30,0.11,0.029,13.0,0.9,5.4967,99.2
10%,"1,968",65,20,0.12,0.029,14.0,0.9,5.4967,68.0
10%,"1,968",65,30,0.11,0.029,14.0,0.9,5.4967,64.1
10%,"1,968",70,20,0.12,0.029,14.0,0.9,5.4967,64.4
10%,"1,968",70,30,0.11,0.029,14.0,0.9,5.4967,60.8
10%,"1,968",75,20,0.12,0.029,14.0,0.9,5.4967,61.3
10%,"1,968",75,30,0.11,0.029,14.0,0.9,5.4967,57.9
6%,"6,068",65,20,0.09,0.029,11.0,0.9,5.4967,138.6
6%,"6,068",65,30,0.07,0.029,11.0,0.9,5.4967,123.1
6%,"6,068",70,20,0.09,0.029,11.0,0.9,5.4967,129.8
6%,"6,068",70,30,0.07,0.029,11.0,0.9,5.4967,115.4
6%,"6,068",75,20,0.09,0.029,11.0,0.9,5.4967,122.1
6%,"6,068",75,30,0.07,0.029,11.0,0.9,5.4967,108.7
6%,"4,018",65,20,0.09,0.029,13.0,0.9,5.4967,98.5
6%,"4,018",65,30,0.07,0.029,13.0,0.9,5.4967,88.3
6%,"4,018",70,20,0.09,0.029,13.0,0.9,5.4967,92.7
6%,"4,018",70,30,0.07,0.029,13.0,0.9,5.4967,83.1
6%,"4,018",75,20,0.09,0.029,13.0,0.9,5.4967,87.6
6%,"4,018",75,30,0.07,0.029,13.0,0.9,5.4967,78.7
6%,"1,968",65,20,0.09,0.029,14.0,0.9,5.4967,57.6
6%,"1,968",65,30,0.07,0.029,14.0,0.9,5.4967,52.6
6%,"1,968",70,20,0.09,0.029,14.0,0.9,5.4967,54.7
6%,"1,968",70,30,0.07,0.029,14.0,0.9,5.4967,50.1
6%,"1,968",75,20,0.09,0.029,14.0,0.9,5.4967,52.2
6%,"1,968",75,30,0.07,0.029,14.0,0.9,5.4967,47.9
4%,"6,068",65,20,0.07,0.029,11.0,0.9,5.4967,124.1
4%,"6,068",65,30,0.06,0.029,11.0,0.9,5.4967,107.3
4%,"6,068",70,20,0.07,0.029,11.0,0.9,5.4967,116.3
4%,"6,068",70,30,0.06,0.029,11.0,0.9,5.4967,100.7
4%,"6,068",75,20,0.07,0.029,11.0,0.9,5.4967,109.5
4%,"6,068",75,30,0.06,0.029,11.0,0.9,5.4967,95.0
4%,"4,018",65,20,0.07,0.029,13.0,0.9,5.4967,88.9
4%,"4,018",65,30,0.06,0.029,13.0,0.9,5.4967,77.8
4%,"4,018",70,20,0.07,0.029,13.0,0.9,5.4967,83.8
4%,"4,018",70,30,0.06,0.029,13.0,0.9,5.4967,73.4
4%,"4,018",75,20,0.07,0.029,13.0,0.9,5.4967,79.3
4%,"4,018",75,30,0.06,0.029,13.0,0.9,5.4967,69.6
4%,"1,968",65,20,0.07,0.029,14.0,0.9,5.4967,52.9
4%,"1,968",65,30,0.06,0.029,14.0,0.9,5.4967,47.4
4%,"1,968",70,20,0.07,0.029,14.0,0.9,5.4967,50.4
4%,"1,968",70,30,0.06,0.029,14.0,0.9,5.4967,45.3
4%,"1,968",75,20,0.07,0.029,14.0,0.9,5.4967,48.2
4%,"1,968",75,30,0.06,0.029,14.0,0.9,5.4967,43.4
10%,"6,068",65,20,0.12,0.042,11.0,0.9,5.4967,185.0
10%,"6,068",65,30,0.11,0.042,11.0,0.9,5.4967,172.9
10%,"6,068",70,20,0.12,0.042,11.0,0.9,5.4967,172.9
10%,"6,068",70,30,0.11,0.042,11.0,0.9,5.4967,161.6
10%,"6,068",75,20,0.12,0.042,11.0,0.9,5.4967,162.4
10%,"6,068",75,30,0.11,0.042,11.0,0.9,5.4967,151.8
10%,"4,018",65,20,0.12,0.042,13.0,0.9,5.4967,129.3
10%,"4,018",65,30,0.11,0.042,13.0,0.9,5.4967,121.2
10%,"4,018",70,20,0.12,0.042,13.0,0.9,5.4967,121.2
10%,"4,018",70,30,0.11,0.042,13.0,0.9,5.4967,113.8
10%,"4,018",75,20,0.12,0.042,13.0,0.9,5.4967,114.2
10%,"4,018",75,30,0.11,0.042,13.0,0.9,5.4967,107.3
10%,"1,968",65,20,0.12,0.042,14.0,0.9,5.4967,72.6
10%,"1,968",65,30,0.11,0.042,14.0,0.9,5.4967,68.7
10%,"1,968",70,20,0.12,0.042,14.0,0.9,5.4967,68.7
10%,"1,968",70,30,0.11,0.042,14.0,0.9,5.4967,65.0
10%,"1,968",75,20,0.12,0.042,14.0,0.9,5.4967,65.3
10%,"1,968",75,30,0.11,0.042,14.0,0.9,5.4967,61.9
6%,"6,068",65,20,0.09,0.042,11.0,0.9,5.4967,152.8
6%,"6,068",65,30,0.07,0.042,11.0,0.9,5.4967,137.3
6%,"6,068",70,20,0.09,0.042,11.0,0.9,5.4967,142.9
6%,"6,068",70,30,0.07,0.042,11.0,0.9,5.4967,128.5
6%,"6,068",75,20,0.09,0.042,11.0,0.9,5.4967,134.4
6%,"6,068",75,30,0.07,0.042,11.0,0.9,5.4967,121.0
6%,"4,018",65,20,0.09,0.042,13.0,0.9,5.4967,107.9
6%,"4,018",65,30,0.07,0.042,13.0,0.9,5.4967,97.6
6%,"4,018",70,20,0.09,0.042,13.0,0.9,5.4967,101.4
6%,"4,018",70,30,0.07,0.042,13.0,0.9,5.4967,91.9
6%,"4,018",75,20,0.09,0.042,13.0,0.9,5.4967,95.7
6%,"4,018",75,30,0.07,0.042,13.0,0.9,5.4967,86.8
6%,"1,968",65,20,0.09,0.042,14.0,0.9,5.4967,62.2
6%,"1,968",65,30,0.07,0.042,14.0,0.9,5.4967,57.2
6%,"1,968",70,20,0.09,0.042,14.0,0.9,5.4967,59.0
6%,"1,968",70,30,0.07,0.042,14.0,0.9,5.4967,54.3
6%,"1,968",75,20,0.09,0.042,14.0,0.9,5.4967,56.2
6%,"1,968",75,30,0.07,0.042,14.0,0.9,5.4967,51.9
4%,"6,068",65,20,0.07,0.042,11.0,0.9,5.4967,138.3
4%,"6,068",65,30,0.06,0.042,11.0,0.9,5.4967,121.5
4%,"6,068",70,20,0.07,0.042,11.0,0.9,5.4967,129.5
4%,"6,068",70,30,0.06,0.042,11.0,0.9,5.4967,113.9
4%,"6,068",75,20,0.07,0.042,11.0,0.9,5.4967,121.8
4%,"6,068",75,30,0.06,0.042,11.0,0.9,5.4967,107.3
4%,"4,018",65,20,0.07,0.042,13.0,0.9,5.4967,98.3
4%,"4,018",65,30,0.06,0.042,13.0,0.9,5.4967,87.2
4%,"4,018",70,20,0.07,0.042,13.0,0.9,5.4967,92.5
4%,"4,018",70,30,0.06,0.042,13.0,0.9,5.4967,82.2
4%,"4,018",75,20,0.07,0.042,13.0,0.9,5.4967,87.4
4%,"4,018",75,30,0.06,0.042,13.0,0.9,5.4967,77.8
4%,"1,968",65,20,0.07,0.042,14.0,0.9,5.4967,57.5
4%,"1,968",65,30,0.06,0.042,14.0,0.9,5.4967,52.0
4%,"1,968",70,20,0.07,0.042,14.0,0.9,5.4967,54.6
4%,"1,968",70,30,0.06,0.042,14.0,0.9,5.4967,49.6
4%,"1,968",75,20,0.07,0.042,14.0,0.9,5.4967,52.1
4%,"1,968",75,30,0.06,0.042,14.0,0.9,5.4967,47.4
10%,"6,068",65,20,0.12,0.029,11.0,1.0,5.4967,171.9
10%,"6,068",65,30,0.11,0.029,11.0,1.0,5.4967,159.8
10%,"6,068",70,20,0.12,0.029,11.0,1.0,5.4967,160.8
10%,"6,068",70,30,0.11,0.029,11.0,1.0,5.4967,149.5
10%,"6,068",75,20,0.12,0.029,11.0,1.0,5.4967,151.1
10%,"6,068",75,30,0.11,0.029,11.0,1.0,5.4967,140.6
10%,"4,018",65,20,0.12,0.029,13.0,1.0,5.4967,121.1
10%,"4,018",65,30,0.11,0.029,13.0,1.0,5.4967,113.1
10%,"4,018",70,20,0.12,0.029,13.0,1.0,5.4967,113.7
10%,"4,018",70,30,0.11,0.029,13.0,1.0,5.4967,106.3
10%,"4,018",75,20,0.12,0.029,13.0,1.0,5.4967,107.3
10%,"4,018",75,30,0.11,0.029,13.0,1.0,5.4967,100.4
10%,"1,968",65,20,0.12,0.029,14.0,1.0,5.4967,69.4
10%,"1,968",65,30,0.11,0.029,14.0,1.0,5.4967,65.4
10%,"1,968",70,20,0.12,0.029,14.0,1.0,5.4967,65.8
10%,"1,968",70,30,0.11,0.029,14.0,1.0,5.4967,62.1
10%,"1,968",75,20,0.12,0.029,14.0,1.0,5.4967,62.6
10%,"1,968",75,30,0.11,0.029,14.0,1.0,5.4967,59.2
6%,"6,068",65,20,0.09,0.029,11.0,1.0,5.4967,139.6
6%,"6,068",65,30,0.07,0.029,11.0,1.0,5.4967,124.2
6%,"6,068",70,20,0.09,0.029,11.0,1.0,5.4967,130.8
6%,"6,068",70,30,0.07,0.029,11.0,1.0,5.4967,116.4
6%,"6,068",75,20,0.09,0.029,11.0,1.0,5.4967,123.2
6%,"6,068",75,30,0.07,0.029,11.0,1.0,5.4967,109.7
6%,"4,018",65,20,0.09,0.029,13.0,1.0,5.4967,99.8
6%,"4,018",65,30,0.07,0.029,13.0,1.0,5.4967,89.5
6%,"4,018",70,20,0.09,0.029,13.0,1.0,5.4967,93.9
6%,"4,018",70,30,0.07,0.029,13.0,1.0,5.4967,84.4
6%,"4,018",75,20,0.09,0.029,13.0,1.0,5.4967,88.8
6%,"4,018",75,30,0.07,0.029,13.0,1.0,5.4967,79.9
6%,"1,968",65,20,0.09,0.029,14.0,1.0,5.4967,58.9
6%,"1,968",65,30,0.07,0.029,14.0,1.0,5.4967,53.9
6%,"1,968",70,20,0.09,0.029,14.0,1.0,5.4967,56.0
6%,"1,968",70,30,0.07,0.029,14.0,1.0,5.4967,51.4
6%,"1,968",75,20,0.09,0.029,14.0,1.0,5.4967,53.6
6%,"1,968",75,30,0.07,0.029,14.0,1.0,5.4967,49.2
4%,"6,068",65,20,0.07,0.029,11.0,1.0,5.4967,125.2
4%,"6,068",65,30,0.06,0.029,11.0,1.0,5.4967,108.4
4%,"6,068",70,20,0.07,0.029,11.0,1.0,5.4967,117.4
4%,"6,068",70,30,0.06,0.029,11.0,1.0,5.4967,101.8
4%,"6,068",75,20,0.07,0.029,11.0,1.0,5.4967,110.6
4%,"6,068",75,30,0.06,0.029,11.0,1.0,5.4967,96.0
4%,"4,018",65,20,0.07,0.029,13.0,1.0,5.4967,90.2
4%,"4,018",65,30,0.06,0.029,13.0,1.0,5.4967,79.0
4%,"4,018",70,20,0.07,0.029,13.0,1.0,5.4967,85.0
