Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,"1,161",75,20,0.117,0.0154,6.5,3.3000,3.2500,48.1
10%,"1,161",75,30,0.106,0.0154,6.5,3.3000,3.2500,46.1
10%,"1,161",80,20,0.117,0.0154,6.5,3.3000,3.2500,46.6
10%,"1,161",80,30,0.106,0.0154,6.5,3.3000,3.2500,44.7
10%,"1,161",85,20,0.117,0.0154,6.5,3.3000,3.2500,45.3
10%,"1,161",85,30,0.106,0.0154,6.5,3.3000,3.2500,43.5
10%,917,75,20,0.117,0.0154,6.8,3.3000,3.2500,44.1
10%,917,75,30,0.106,0.0154,6.8,3.3000,3.2500,42.5
10%,917,80,20,0.117,0.0154,6.8,3.3000,3.2500,42.9
10%,917,80,30,0.106,0.0154,6.8,3.3000,3.2500,41.4
10%,917,85,20,0.117,0.0154,6.8,3.3000,3.2500,41.9
10%,917,85,30,0.106,0.0154,6.8,3.3000,3.2500,40.5
10%,673,75,20,0.117,0.0154,7.5,3.3000,3.2500,41.6
10%,673,75,30,0.106,0.0154,7.5,3.3000,3.2500,40.4
10%,673,80,20,0.117,0.0154,7.5,3.3000,3.2500,40.8
10%,673,80,30,0.106,0.0154,7.5,3.3000,3.2500,39.7
10%,673,85,20,0.117,0.0154,7.5,3.3000,3.2500,40.0
10%,673,85,30,0.106,0.0154,7.5,3.3000,3.2500,39.0
6%,"1,161",75,20,0.087,0.0154,6.5,3.3000,3.2500,42.7
6%,"1,161",75,30,0.073,0.0154,6.5,3.3000,3.2500,40.2
6%,"1,161",80,20,0.087,0.0154,6.5,3.3000,3.2500,41.6
6%,"1,161",80,30,0.073,0.0154,6.5,3.3000,3.2500,39.2
6%,"1,161",85,20,0.087,0.0154,6.5,3.3000,3.2500,40.6
6%,"1,161",85,30,0.073,0.0154,6.5,3.3000,3.2500,38.3
6%,917,75,20,0.087,0.0154,6.8,3.3000,3.2500,39.8
6%,917,75,30,0.073,0.0154,6.8,3.3000,3.2500,37.8
6%,917,80,20,0.087,0.0154,6.8,3.3000,3.2500,38.9
6%,917,80,30,0.073,0.0154,6.8,3.3000,3.2500,37.0
6%,917,85,20,0.087,0.0154,6.8,3.3000,3.2500,38.2
6%,917,85,30,0.073,0.0154,6.8,3.3000,3.2500,36.4
6%,673,75,20,0.087,0.0154,7.5,3.3000,3.2500,38.5
6%,673,75,30,0.073,0.0154,7.5,3.3000,3.2500,37.0
6%,673,80,20,0.087,0.0154,7.5,3.3000,3.2500,37.8
6%,673,80,30,0.073,0.0154,7.5,3.3000,3.2500,36.5
6%,673,85,20,0.087,0.0154,7.5,3.3000,3.2500,37.3
6%,673,85,30,0.073,0.0154,7.5,3.3000,3.2500,36.0
4%,"1,161",75,20,0.074,0.0154,6.5,3.3000,3.2500,40.3
4%,"1,161",75,30,0.058,0.0154,6.5,3.3000,3.2500,37.5
4%,"1,161",80,20,0.074,0.0154,6.5,3.3000,3.2500,39.3
4%,"1,161",80,30,0.058,0.0154,6.5,3.3000,3.2500,36.7
4%,"1,161",85,20,0.074,0.0154,6.5,3.3000,3.2500,38.5
4%,"1,161",85,30,0.058,0.0154,6.5,3.3000,3.2500,36.0
4%,917,75,20,0.074,0.0154,6.8,3.3000,3.2500,37.9
4%,917,75,30,0.058,0.0154,6.8,3.3000,3.2500,35.7
4%,917,80,20,0.074,0.0154,6.8,3.3000,3.2500,37.2
4%,917,80,30,0.058,0.0154,6.8,3.3000,3.2500,35.1
4%,917,85,20,0.074,0.0154,6.8,3.3000,3.2500,36.5
4%,917,85,30,0.058,0.0154,6.8,3.3000,3.2500,34.5
4%,673,75,20,0.074,0.0154,7.5,3.3000,3.2500,37.1
4%,673,75,30,0.058,0.0154,7.5,3.3000,3.2500,35.5
4%,673,80,20,0.074,0.0154,7.5,3.3000,3.2500,36.5
4%,673,80,30,0.058,0.0154,7.5,3.3000,3.2500,35.0
4%,673,85,20,0.074,0.0154,7.5,3.3000,3.2500,36.0
4%,673,85,30,0.058,0.0154,7.5,3.3000,3.2500,34.6
10%,"1,161",75,20,0.117,0.0234,6.5,3.3000,3.2500,49.5
10%,"1,161",75,30,0.106,0.0234,6.5,3.3000,3.2500,47.5
10%,"1,161",80,20,0.117,0.0234,6.5,3.3000,3.2500,47.9
10%,"1,161",80,30,0.106,0.0234,6.5,3.3000,3.2500,46.0
10%,"1,161",85,20,0.117,0.0234,6.5,3.3000,3.2500,46.6
10%,"1,161",85,30,0.106,0.0234,6.5,3.3000,3.2500,44.8
10%,917,75,20,0.117,0.0234,6.8,3.3000,3.2500,45.2
10%,917,75,30,0.106,0.0234,6.8,3.3000,3.2500,43.6
10%,917,80,20,0.117,0.0234,6.8,3.3000,3.2500,44.0
10%,917,80,30,0.106,0.0234,6.8,3.3000,3.2500,42.5
10%,917,85,20,0.117,0.0234,6.8,3.3000,3.2500,42.9
10%,917,85,30,0.106,0.0234,6.8,3.3000,3.2500,41.5
10%,673,75,20,0.117,0.0234,7.5,3.3000,3.2500,42.4
10%,673,75,30,0.106,0.0234,7.5,3.3000,3.2500,41.3
10%,673,80,20,0.117,0.0234,7.5,3.3000,3.2500,41.5
10%,673,80,30,0.106,0.0234,7.5,3.3000,3.2500,40.4
10%,673,85,20,0.117,0.0234,7.5,3.3000,3.2500,40.7
10%,673,85,30,0.106,0.0234,7.5,3.3000,3.2500,39.7
6%,"1,161",75,20,0.087,0.0234,6.5,3.3000,3.2500,44.1
6%,"1,161",75,30,0.073,0.0234,6.5,3.3000,3.2500,41.6
6%,"1,161",80,20,0.087,0.0234,6.5,3.3000,3.2500,42.9
6%,"1,161",80,30,0.073,0.0234,6.5,3.3000,3.2500,40.5
6%,"1,161",85,20,0.087,0.0234,6.5,3.3000,3.2500,41.8
6%,"1,161",85,30,0.073,0.0234,6.5,3.3000,3.2500,39.6
6%,917,75,20,0.087,0.0234,6.8,3.3000,3.2500,41.0
6%,917,75,30,0.073,0.0234,6.8,3.3000,3.2500,38.9
6%,917,80,20,0.087,0.0234,6.8,3.3000,3.2500,40.0
6%,917,80,30,0.073,0.0234,6.8,3.3000,3.2500,38.1
6%,917,85,20,0.087,0.0234,6.8,3.3000,3.2500,39.1
6%,917,85,30,0.073,0.0234,6.8,3.3000,3.2500,37.4
6%,673,75,20,0.087,0.0234,7.5,3.3000,3.2500,39.3
6%,673,75,30,0.073,0.0234,7.5,3.3000,3.2500,37.8
6%,673,80,20,0.087,0.0234,7.5,3.3000,3.2500,38.6
6%,673,80,30,0.073,0.0234,7.5,3.3000,3.2500,37.2
6%,673,85,20,0.087,0.0234,7.5,3.3000,3.2500,38.0
6%,673,85,30,0.073,0.0234,7.5,3.3000,3.2500,36.7
4%,"1,161",75,20,0.074,0.0234,6.5,3.3000,3.2500,41.7
4%,"1,161",75,30,0.058,0.0234,6.5,3.3000,3.2500,39.0
4%,"1,161",80,20,0.074,0.0234,6.5,3.3000,3.2500,40.7
4%,"1,161",80,30,0.058,0.0234,6.5,3.3000,3.2500,38.1
4%,"1,161",85,20,0.074,0.0234,6.5,3.3000,3.2500,39.7
4%,"1,161",85,30,0.058,0.0234,6.5,3.3000,3.2500,37.3
4%,917,75,20,0.074,0.0234,6.8,3.3000,3.2500,39.1
