Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,"4,344",75,30,0.11,0.013,7.5,1.5,5.4186,95.5
10%,"4,344",75,40,0.10,0.013,7.5,1.5,5.4186,92.9
10%,"4,344",80,30,0.11,0.013,7.5,1.5,5.4186,90.5
10%,"4,344",80,40,0.10,0.013,7.5,1.5,5.4186,88.2
10%,"4,344",85,30,0.11,0.013,7.5,1.5,5.4186,86.2
10%,"4,344",85,40,0.10,0.013,7.5,1.5,5.4186,84.0
10%,"2,772",75,30,0.11,0.013,9.1,1.5,5.4186,69.4
10%,"2,772",75,40,0.10,0.013,9.1,1.5,5.4186,67.8
10%,"2,772",80,30,0.11,0.013,9.1,1.5,5.4186,66.2
10%,"2,772",80,40,0.10,0.013,9.1,1.5,5.4186,64.7
10%,"2,772",85,30,0.11,0.013,9.1,1.5,5.4186,63.5
10%,"2,772",85,40,0.10,0.013,9.1,1.5,5.4186,62.0
10%,"1,2",75,30,0.11,0.013,12.7,1.5,5.4186,46.2
10%,"1,2",75,40,0.10,0.013,12.7,1.5,5.4186,45.5
10%,"1,2",80,30,0.11,0.013,12.7,1.5,5.4186,44.8
10%,"1,2",80,40,0.10,0.013,12.7,1.5,5.4186,44.2
10%,"1,2",85,30,0.11,0.013,12.7,1.5,5.4186,43.6
10%,"1,2",85,40,0.10,0.013,12.7,1.5,5.4186,43.0
6%,"4,344",75,30,0.07,0.013,7.5,1.5,5.4186,73.4
6%,"4,344",75,40,0.07,0.013,7.5,1.5,5.4186,69.3
6%,"4,344",80,30,0.07,0.013,7.5,1.5,5.4186,69.8
6%,"4,344",80,40,0.07,0.013,7.5,1.5,5.4186,66.0
6%,"4,344",85,30,0.07,0.013,7.5,1.5,5.4186,66.7
6%,"4,344",85,40,0.07,0.013,7.5,1.5,5.4186,63.1
6%,"2,772",75,30,0.07,0.013,9.1,1.5,5.4186,55.3
6%,"2,772",75,40,0.07,0.013,9.1,1.5,5.4186,52.7
6%,"2,772",80,30,0.07,0.013,9.1,1.5,5.4186,53.0
6%,"2,772",80,40,0.07,0.013,9.1,1.5,5.4186,50.6
6%,"2,772",85,30,0.07,0.013,9.1,1.5,5.4186,51.0
6%,"2,772",85,40,0.07,0.013,9.1,1.5,5.4186,48.7
