Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,7,55,25,0.110,0.0147,0.0000,181.4
10%,7,55,30,0.106,0.0147,0.0000,175.5
10%,7,60,25,0.110,0.0147,0.0000,166.3
10%,7,60,30,0.106,0.0147,0.0000,160.9
10%,7,65,25,0.110,0.0147,0.0000,153.5
10%,7,65,30,0.106,0.0147,0.0000,148.5
10%,"5,352",35,25,0.110,0.0147,0.0000,218.0
10%,"5,352",35,30,0.106,0.0147,0.0000,210.8
10%,"5,352",40,25,0.110,0.0147,0.0000,190.7
10%,"5,352",40,30,0.106,0.0147,0.0000,184.5
10%,"5,352",50,25,0.110,0.0147,0.0000,152.6
10%,"5,352",50,30,0.106,0.0147,0.0000,147.6
10%,"3,704",25,25,0.110,0.0147,0.0000,211.2
10%,"3,704",25,30,0.106,0.0147,0.0000,204.3
10%,"3,704",30,25,0.110,0.0147,0.0000,176.0
10%,"3,704",30,30,0.106,0.0147,0.0000,170.2
10%,"3,704",35,25,0.110,0.0147,0.0000,150.9
10%,"3,704",35,30,0.106,0.0147,0.0000,145.9
6%,7,55,25,0.078,0.0147,0.0000,135.0
6%,7,55,30,0.073,0.0147,0.0000,126.9
6%,7,60,25,0.078,0.0147,0.0000,123.8
6%,7,60,30,0.073,0.0147,0.0000,116.3
6%,7,65,25,0.078,0.0147,0.0000,114.2
6%,7,65,30,0.073,0.0147,0.0000,107.4
6%,"5,352",35,25,0.078,0.0147,0.0000,162.2
6%,"5,352",35,30,0.073,0.0147,0.0000,152.5
6%,"5,352",40,25,0.078,0.0147,0.0000,141.9
6%,"5,352",40,30,0.073,0.0147,0.0000,133.4
6%,"5,352",50,25,0.078,0.0147,0.0000,113.5
6%,"5,352",50,30,0.073,0.0147,0.0000,106.7
6%,"3,704",25,25,0.078,0.0147,0.0000,157.2
6%,"3,704",25,30,0.073,0.0147,0.0000,147.7
6%,"3,704",30,25,0.078,0.0147,0.0000,131.0
6%,"3,704",30,30,0.073,0.0147,0.0000,123.1
6%,"3,704",35,25,0.078,0.0147,0.0000,112.3
6%,"3,704",35,30,0.073,0.0147,0.0000,105.5
4%,7,55,25,0.064,0.0147,0.0000,114.4
4%,7,55,30,0.058,0.0147,0.0000,105.4
4%,7,60,25,0.064,0.0147,0.0000,104.8
4%,7,60,30,0.058,0.0147,0.0000,96.6
4%,7,65,25,0.064,0.0147,0.0000,96.8
4%,7,65,30,0.058,0.0147,0.0000,89.2
4%,"5,352",35,25,0.064,0.0147,0.0000,137.4
4%,"5,352",35,30,0.058,0.0147,0.0000,126.6
4%,"5,352",40,25,0.064,0.0147,0.0000,120.2
4%,"5,352",40,30,0.058,0.0147,0.0000,110.8
4%,"5,352",50,25,0.064,0.0147,0.0000,96.2
4%,"5,352",50,30,0.058,0.0147,0.0000,88.6
4%,"3,704",25,25,0.064,0.0147,0.0000,133.1
4%,"3,704",25,30,0.058,0.0147,0.0000,122.7
4%,"3,704",30,25,0.064,0.0147,0.0000,110.9
4%,"3,704",30,30,0.058,0.0147,0.0000,102.2
4%,"3,704",35,25,0.064,0.0147,0.0000,95.1
4%,"3,704",35,30,0.058,0.0147,0.0000,87.6
10%,7,55,25,0.110,0.0171,0.0000,184.9
10%,7,55,30,0.106,0.0171,0.0000,179.0
10%,7,60,25,0.110,0.0171,0.0000,169.5
10%,7,60,30,0.106,0.0171,0.0000,164.1
10%,7,65,25,0.110,0.0171,0.0000,156.5
10%,7,65,30,0.106,0.0171,0.0000,151.4
10%,"5,352",35,25,0.110,0.0171,0.0000,222.2
10%,"5,352",35,30,0.106,0.0171,0.0000,215.0
10%,"5,352",40,25,0.110,0.0171,0.0000,194.4
10%,"5,352",40,30,0.106,0.0171,0.0000,188.1
10%,"5,352",50,25,0.110,0.0171,0.0000,155.5
10%,"5,352",50,30,0.106,0.0171,0.0000,150.5
10%,"3,704",25,25,0.110,0.0171,0.0000,215.3
10%,"3,704",25,30,0.106,0.0171,0.0000,208.3
10%,"3,704",30,25,0.110,0.0171,0.0000,179.4
10%,"3,704",30,30,0.106,0.0171,0.0000,173.6
10%,"3,704",35,25,0.110,0.0171,0.0000,153.8
10%,"3,704",35,30,0.106,0.0171,0.0000,148.8
6%,7,55,25,0.078,0.0171,0.0000,138.5
6%,7,55,30,0.073,0.0171,0.0000,130.4
6%,7,60,25,0.078,0.0171,0.0000,127.0
6%,7,60,30,0.073,0.0171,0.0000,119.5
6%,7,65,25,0.078,0.0171,0.0000,117.2
6%,7,65,30,0.073,0.0171,0.0000,110.3
6%,"5,352",35,25,0.078,0.0171,0.0000,166.4
6%,"5,352",35,30,0.073,0.0171,0.0000,156.7
6%,"5,352",40,25,0.078,0.0171,0.0000,145.6
6%,"5,352",40,30,0.073,0.0171,0.0000,137.1
6%,"5,352",50,25,0.078,0.0171,0.0000,116.5
6%,"5,352",50,30,0.073,0.0171,0.0000,109.7
6%,"3,704",25,25,0.078,0.0171,0.0000,161.2
6%,"3,704",25,30,0.073,0.0171,0.0000,151.8
6%,"3,704",30,25,0.078,0.0171,0.0000,134.4
6%,"3,704",30,30,0.073,0.0171,0.0000,126.5
6%,"3,704",35,25,0.078,0.0171,0.0000,115.2
6%,"3,704",35,30,0.073,0.0171,0.0000,108.4
4%,7,55,25,0.064,0.0171,0.0000,117.8
4%,7,55,30,0.058,0.0171,0.0000,108.9
4%,7,60,25,0.064,0.0171,0.0000,108.0
4%,7,60,30,0.058,0.0171,0.0000,99.8
4%,7,65,25,0.064,0.0171,0.0000,99.7
4%,7,65,30,0.058,0.0171,0.0000,92.1
4%,"5,352",35,25,0.064,0.0171,0.0000,141.6
4%,"5,352",35,30,0.058,0.0171,0.0000,130.8
4%,"5,352",40,25,0.064,0.0171,0.0000,123.9
4%,"5,352",40,30,0.058,0.0171,0.0000,114.4
4%,"5,352",50,25,0.064,0.0171,0.0000,99.1
4%,"5,352",50,30,0.058,0.0171,0.0000,91.6
4%,"3,704",25,25,0.064,0.0171,0.0000,137.2
4%,"3,704",25,30,0.058,0.0171,0.0000,126.7
4%,"3,704",30,25,0.064,0.0171,0.0000,114.3
4%,"3,704",30,30,0.058,0.0171,0.0000,105.6
4%,"3,704",35,25,0.064,0.0171,0.0000,98.0
4%,"3,704",35,30,0.058,0.0171,0.0000,90.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,108,,,,,,
