Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,899,75,20,0.12,0.014,8.0,3.3,5.6200,50.0
10%,899,75,30,0.11,0.014,8.0,3.3,5.6200,48.4
10%,899,80,20,0.12,0.014,8.0,3.3,5.6200,48.9
10%,899,80,30,0.11,0.014,8.0,3.3,5.6200,47.4
10%,899,85,20,0.12,0.014,8.0,3.3,5.6200,47.9
10%,899,85,30,0.11,0.014,8.0,3.3,5.6200,46.5
10%,718,75,20,0.12,0.014,8.4,3.3,5.6200,47.8
10%,718,75,30,0.11,0.014,8.4,3.3,5.6200,46.6
10%,718,80,20,0.12,0.014,8.4,3.3,5.6200,46.9
10%,718,80,30,0.11,0.014,8.4,3.3,5.6200,45.8
10%,718,85,20,0.12,0.014,8.4,3.3,5.6200,46.1
10%,718,85,30,0.11,0.014,8.4,3.3,5.6200,45.0
10%,536,75,20,0.12,0.014,10.3,3.3,5.6200,50.5
10%,536,75,30,0.11,0.014,10.3,3.3,5.6200,49.5
10%,536,80,20,0.12,0.014,10.3,3.3,5.6200,49.8
10%,536,80,30,0.11,0.014,10.3,3.3,5.6200,48.9
10%,536,85,20,0.12,0.014,10.3,3.3,5.6200,49.2
10%,536,85,30,0.11,0.014,10.3,3.3,5.6200,48.4
6%,899,75,20,0.09,0.014,8.0,3.3,5.6200,45.9
6%,899,75,30,0.07,0.014,8.0,3.3,5.6200,43.9
6%,899,80,20,0.09,0.014,8.0,3.3,5.6200,45.0
6%,899,80,30,0.07,0.014,8.0,3.3,5.6200,43.1
6%,899,85,20,0.09,0.014,8.0,3.3,5.6200,44.2
6%,899,85,30,0.07,0.014,8.0,3.3,5.6200,42.5
6%,718,75,20,0.09,0.014,8.4,3.3,5.6200,44.5
6%,718,75,30,0.07,0.014,8.4,3.3,5.6200,42.9
6%,718,80,20,0.09,0.014,8.4,3.3,5.6200,43.8
6%,718,80,30,0.07,0.014,8.4,3.3,5.6200,42.3
6%,718,85,20,0.09,0.014,8.4,3.3,5.6200,43.2
6%,718,85,30,0.07,0.014,8.4,3.3,5.6200,41.8
6%,536,75,20,0.09,0.014,10.3,3.3,5.6200,48.0
6%,536,75,30,0.07,0.014,10.3,3.3,5.6200,46.8
6%,536,80,20,0.09,0.014,10.3,3.3,5.6200,47.5
6%,536,80,30,0.07,0.014,10.3,3.3,5.6200,46.4
6%,536,85,20,0.09,0.014,10.3,3.3,5.6200,47.0
6%,536,85,30,0.07,0.014,10.3,3.3,5.6200,46.0
4%,899,75,20,0.07,0.014,8.0,3.3,5.6200,44.0
4%,899,75,30,0.06,0.014,8.0,3.3,5.6200,41.8
4%,899,80,20,0.07,0.014,8.0,3.3,5.6200,43.2
4%,899,80,30,0.06,0.014,8.0,3.3,5.6200,41.2
4%,899,85,20,0.07,0.014,8.0,3.3,5.6200,42.6
4%,899,85,30,0.06,0.014,8.0,3.3,5.6200,40.7
4%,718,75,20,0.07,0.014,8.4,3.3,5.6200,43.0
4%,718,75,30,0.06,0.014,8.4,3.3,5.6200,41.3
4%,718,80,20,0.07,0.014,8.4,3.3,5.6200,42.4
4%,718,80,30,0.06,0.014,8.4,3.3,5.6200,40.8
4%,718,85,20,0.07,0.014,8.4,3.3,5.6200,41.9
4%,718,85,30,0.06,0.014,8.4,3.3,5.6200,40.4
4%,536,75,20,0.07,0.014,10.3,3.3,5.6200,46.9
4%,536,75,30,0.06,0.014,10.3,3.3,5.6200,45.6
4%,536,80,20,0.07,0.014,10.3,3.3,5.6200,46.4
4%,536,80,30,0.06,0.014,10.3,3.3,5.6200,45.2
4%,536,85,20,0.07,0.014,10.3,3.3,5.6200,46.0
4%,536,85,30,0.06,0.014,10.3,3.3,5.6200,44.9
10%,899,75,20,0.12,0.017,8.0,3.3,5.6200,50.5
10%,899,75,30,0.11,0.017,8.0,3.3,5.6200,48.9
10%,899,80,20,0.12,0.017,8.0,3.3,5.6200,49.3
10%,899,80,30,0.11,0.017,8.0,3.3,5.6200,47.9
10%,899,85,20,0.12,0.017,8.0,3.3,5.6200,48.3
10%,899,85,30,0.11,0.017,8.0,3.3,5.6200,46.9
10%,718,75,20,0.12,0.017,8.4,3.3,5.6200,48.2
10%,718,75,30,0.11,0.017,8.4,3.3,5.6200,47.0
10%,718,80,20,0.12,0.017,8.4,3.3,5.6200,47.3
10%,718,80,30,0.11,0.017,8.4,3.3,5.6200,46.1
10%,718,85,20,0.12,0.017,8.4,3.3,5.6200,46.5
10%,718,85,30,0.11,0.017,8.4,3.3,5.6200,45.4
10%,536,75,20,0.12,0.017,10.3,3.3,5.6200,50.7
10%,536,75,30,0.11,0.017,10.3,3.3,5.6200,49.8
10%,536,80,20,0.12,0.017,10.3,3.3,5.6200,50.1
10%,536,80,30,0.11,0.017,10.3,3.3,5.6200,49.2
10%,536,85,20,0.12,0.017,10.3,3.3,5.6200,49.5
10%,536,85,30,0.11,0.017,10.3,3.3,5.6200,48.6
6%,899,75,20,0.09,0.017,8.0,3.3,5.6200,46.3
