Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,"7,911",80,40,0.10,0.017,10.5,0.7,4.6017,147.2
10%,"7,911",80,50,0.10,0.017,10.5,0.7,4.6017,145.6
10%,"7,911",85,40,0.10,0.017,10.5,0.7,4.6017,139.3
10%,"7,911",85,50,0.10,0.017,10.5,0.7,4.6017,137.8
10%,"7,911",90,40,0.10,0.017,10.5,0.7,4.6017,132.2
10%,"7,911",90,50,0.10,0.017,10.5,0.7,4.6017,130.8
10%,"5,956",80,40,0.10,0.017,11.0,0.7,4.6017,114.2
10%,"5,956",80,50,0.10,0.017,11.0,0.7,4.6017,113.0
10%,"5,956",85,40,0.10,0.017,11.0,0.7,4.6017,108.2
10%,"5,956",85,50,0.10,0.017,11.0,0.7,4.6017,107.1
10%,"5,956",90,40,0.10,0.017,11.0,0.7,4.6017,102.9
10%,"5,956",90,50,0.10,0.017,11.0,0.7,4.6017,101.9
10%,4,80,40,0.10,0.017,11.5,0.7,4.6017,81.2
10%,4,80,50,0.10,0.017,11.5,0.7,4.6017,80.4
10%,4,85,40,0.10,0.017,11.5,0.7,4.6017,77.2
10%,4,85,50,0.10,0.017,11.5,0.7,4.6017,76.5
10%,4,90,40,0.10,0.017,11.5,0.7,4.6017,73.6
10%,4,90,50,0.10,0.017,11.5,0.7,4.6017,72.9
6%,"7,911",80,40,0.07,0.017,10.5,0.7,4.6017,106.8
6%,"7,911",80,50,0.06,0.017,10.5,0.7,4.6017,103.4
6%,"7,911",85,40,0.07,0.017,10.5,0.7,4.6017,101.3
6%,"7,911",85,50,0.06,0.017,10.5,0.7,4.6017,98.0
6%,"7,911",90,40,0.07,0.017,10.5,0.7,4.6017,96.3
6%,"7,911",90,50,0.06,0.017,10.5,0.7,4.6017,93.3
6%,"5,956",80,40,0.07,0.017,11.0,0.7,4.6017,83.8
6%,"5,956",80,50,0.06,0.017,11.0,0.7,4.6017,81.2
6%,"5,956",85,40,0.07,0.017,11.0,0.7,4.6017,79.6
6%,"5,956",85,50,0.06,0.017,11.0,0.7,4.6017,77.2
6%,"5,956",90,40,0.07,0.017,11.0,0.7,4.6017,75.9
6%,"5,956",90,50,0.06,0.017,11.0,0.7,4.6017,73.6
6%,4,80,40,0.07,0.017,11.5,0.7,4.6017,60.8
6%,4,80,50,0.06,0.017,11.5,0.7,4.6017,59.1
6%,4,85,40,0.07,0.017,11.5,0.7,4.6017,58.0
6%,4,85,50,0.06,0.017,11.5,0.7,4.6017,56.4
6%,4,90,40,0.07,0.017,11.5,0.7,4.6017,55.5
6%,4,90,50,0.06,0.017,11.5,0.7,4.6017,54.0
4%,"7,911",80,40,0.05,0.017,10.5,0.7,4.6017,88.8
4%,"7,911",80,50,0.05,0.017,10.5,0.7,4.6017,84.3
4%,"7,911",85,40,0.05,0.017,10.5,0.7,4.6017,84.3
4%,"7,911",85,50,0.05,0.017,10.5,0.7,4.6017,80.1
4%,"7,911",90,40,0.05,0.017,10.5,0.7,4.6017,80.3
4%,"7,911",90,50,0.05,0.017,10.5,0.7,4.6017,76.3
4%,"5,956",80,40,0.05,0.017,11.0,0.7,4.6017,70.3
4%,"5,956",80,50,0.05,0.017,11.0,0.7,4.6017,66.9
4%,"5,956",85,40,0.05,0.017,11.0,0.7,4.6017,66.9
4%,"5,956",85,50,0.05,0.017,11.0,0.7,4.6017,63.7
4%,"5,956",90,40,0.05,0.017,11.0,0.7,4.6017,63.9
4%,"5,956",90,50,0.05,0.017,11.0,0.7,4.6017,60.9
4%,4,80,40,0.05,0.017,11.5,0.7,4.6017,51.7
4%,4,80,50,0.05,0.017,11.5,0.7,4.6017,49.4
4%,4,85,40,0.05,0.017,11.5,0.7,4.6017,49.4
4%,4,85,50,0.05,0.017,11.5,0.7,4.6017,47.3
4%,4,90,40,0.05,0.017,11.5,0.7,4.6017,47.4
4%,4,90,50,0.05,0.017,11.5,0.7,4.6017,45.4
