Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Variable O&M cost,Levelized cost of electrcity (LCOE)
,$/kW,%,Year,factor,fraction of CAPEX,$/MWh,$/MWh
10%,"5,246",30,25,0.110,0.0220,0.0000,263.8
10%,"5,246",30,30,0.106,0.0220,0.0000,255.7
10%,"5,246",35,25,0.110,0.0220,0.0000,226.1
10%,"5,246",35,30,0.106,0.0220,0.0000,219.2
10%,"5,246",45,25,0.110,0.0220,0.0000,175.9
10%,"5,246",45,30,0.106,0.0220,0.0000,170.5
10%,"3,798",25,25,0.110,0.0220,0.0000,229.2
10%,"3,798",25,30,0.106,0.0220,0.0000,222.1
10%,"3,798",30,25,0.110,0.0220,0.0000,191.0
10%,"3,798",30,30,0.106,0.0220,0.0000,185.1
10%,"3,798",35,25,0.110,0.0220,0.0000,163.7
10%,"3,798",35,30,0.106,0.0220,0.0000,158.7
10%,"2,35",25,25,0.110,0.0220,0.0000,141.8
10%,"2,35",25,30,0.106,0.0220,0.0000,137.4
10%,"2,35",30,25,0.110,0.0220,0.0000,118.2
10%,"2,35",30,30,0.106,0.0220,0.0000,114.5
10%,"2,35",35,25,0.110,0.0220,0.0000,101.3
10%,"2,35",35,30,0.106,0.0220,0.0000,98.2
6%,"5,246",30,25,0.078,0.0220,0.0000,200.1
6%,"5,246",30,30,0.073,0.0220,0.0000,188.9
6%,"5,246",35,25,0.078,0.0220,0.0000,171.5
6%,"5,246",35,30,0.073,0.0220,0.0000,161.9
6%,"5,246",45,25,0.078,0.0220,0.0000,133.4
6%,"5,246",45,30,0.073,0.0220,0.0000,126.0
6%,"3,798",25,25,0.078,0.0220,0.0000,173.8
6%,"3,798",25,30,0.073,0.0220,0.0000,164.1
6%,"3,798",30,25,0.078,0.0220,0.0000,144.8
6%,"3,798",30,30,0.073,0.0220,0.0000,136.8
6%,"3,798",35,25,0.078,0.0220,0.0000,124.2
6%,"3,798",35,30,0.073,0.0220,0.0000,117.2
6%,"2,35",25,25,0.078,0.0220,0.0000,107.5
6%,"2,35",25,30,0.073,0.0220,0.0000,101.6
6%,"2,35",30,25,0.078,0.0220,0.0000,89.6
6%,"2,35",30,30,0.073,0.0220,0.0000,84.6
6%,"2,35",35,25,0.078,0.0220,0.0000,76.8
6%,"2,35",35,30,0.073,0.0220,0.0000,72.5
4%,"5,246",30,25,0.064,0.0220,0.0000,171.7
4%,"5,246",30,30,0.058,0.0220,0.0000,159.4
4%,"5,246",35,25,0.064,0.0220,0.0000,147.2
4%,"5,246",35,30,0.058,0.0220,0.0000,136.6
4%,"5,246",45,25,0.064,0.0220,0.0000,114.5
4%,"5,246",45,30,0.058,0.0220,0.0000,106.2
4%,"3,798",25,25,0.064,0.0220,0.0000,149.2
4%,"3,798",25,30,0.058,0.0220,0.0000,138.4
4%,"3,798",30,25,0.064,0.0220,0.0000,124.3
4%,"3,798",30,30,0.058,0.0220,0.0000,115.4
4%,"3,798",35,25,0.064,0.0220,0.0000,106.5
4%,"3,798",35,30,0.058,0.0220,0.0000,98.9
4%,"2,35",25,25,0.064,0.0220,0.0000,92.3
4%,"2,35",25,30,0.058,0.0220,0.0000,85.7
4%,"2,35",30,25,0.064,0.0220,0.0000,76.9
4%,"2,35",30,30,0.058,0.0220,0.0000,71.4
4%,"2,35",35,25,0.064,0.0220,0.0000,65.9
4%,"2,35",35,30,0.058,0.0220,0.0000,61.2
10%,"5,246",30,25,0.110,0.0269,0.0000,273.6
10%,"5,246",30,30,0.106,0.0269,0.0000,265.5
10%,"5,246",35,25,0.110,0.0269,0.0000,234.5
10%,"5,246",35,30,0.106,0.0269,0.0000,227.5
10%,"5,246",45,25,0.110,0.0269,0.0000,182.4
10%,"5,246",45,30,0.106,0.0269,0.0000,177.0
10%,"3,798",25,25,0.110,0.0269,0.0000,237.7
10%,"3,798",25,30,0.106,0.0269,0.0000,230.6
10%,"3,798",30,25,0.110,0.0269,0.0000,198.1
10%,"3,798",30,30,0.106,0.0269,0.0000,192.2
10%,"3,798",35,25,0.110,0.0269,0.0000,169.8
10%,"3,798",35,30,0.106,0.0269,0.0000,164.7
10%,"2,35",25,25,0.110,0.0269,0.0000,147.1
10%,"2,35",25,30,0.106,0.0269,0.0000,142.7
10%,"2,35",30,25,0.110,0.0269,0.0000,122.6
10%,"2,35",30,30,0.106,0.0269,0.0000,118.9
10%,"2,35",35,25,0.110,0.0269,0.0000,105.1
10%,"2,35",35,30,0.106,0.0269,0.0000,101.9
6%,"5,246",30,25,0.078,0.0269,0.0000,209.9
6%,"5,246",30,30,0.073,0.0269,0.0000,198.7
6%,"5,246",35,25,0.078,0.0269,0.0000,179.9
6%,"5,246",35,30,0.073,0.0269,0.0000,170.3
6%,"5,246",45,25,0.078,0.0269,0.0000,139.9
6%,"5,246",45,30,0.073,0.0269,0.0000,132.5
6%,"3,798",25,25,0.078,0.0269,0.0000,182.3
6%,"3,798",25,30,0.073,0.0269,0.0000,172.6
6%,"3,798",30,25,0.078,0.0269,0.0000,151.9
6%,"3,798",30,30,0.073,0.0269,0.0000,143.9
6%,"3,798",35,25,0.078,0.0269,0.0000,130.2
6%,"3,798",35,30,0.073,0.0269,0.0000,123.3
6%,"2,35",25,25,0.078,0.0269,0.0000,112.8
6%,"2,35",25,30,0.073,0.0269,0.0000,106.8
6%,"2,35",30,25,0.078,0.0269,0.0000,94.0
6%,"2,35",30,30,0.073,0.0269,0.0000,89.0
6%,"2,35",35,25,0.078,0.0269,0.0000,80.6
6%,"2,35",35,30,0.073,0.0269,0.0000,76.3
4%,"5,246",30,25,0.064,0.0269,0.0000,181.5
4%,"5,246",30,30,0.058,0.0269,0.0000,169.1
4%,"5,246",35,25,0.064,0.0269,0.0000,155.6
4%,"5,246",35,30,0.058,0.0269,0.0000,145.0
4%,"5,246",45,25,0.064,0.0269,0.0000,121.0
4%,"5,246",45,30,0.058,0.0269,0.0000,112.8
4%,"3,798",25,25,0.064,0.0269,0.0000,157.7
4%,"3,798",25,30,0.058,0.0269,0.0000,146.9
4%,"3,798",30,25,0.064,0.0269,0.0000,131.4
4%,"3,798",30,30,0.058,0.0269,0.0000,122.5
4%,"3,798",35,25,0.064,0.0269,0.0000,112.6
4%,"3,798",35,30,0.058,0.0269,0.0000,105.0
4%,"2,35",25,25,0.064,0.0269,0.0000,97.6
4%,"2,35",25,30,0.058,0.0269,0.0000,90.9
4%,"2,35",30,25,0.064,0.0269,0.0000,81.3
4%,"2,35",30,30,0.058,0.0269,0.0000,75.8
4%,"2,35",35,25,0.064,0.0269,0.0000,69.7
4%,"2,35",35,30,0.058,0.0269,0.0000,64.9
