Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,"2,285",30,25,0.110,0.0254,0.0000,117.9
10%,"2,285",30,30,0.106,0.0254,0.0000,114.3
10%,"2,285",35,25,0.110,0.0254,0.0000,101.0
10%,"2,285",35,30,0.106,0.0254,0.0000,98.0
10%,"2,285",45,25,0.110,0.0254,0.0000,78.6
10%,"2,285",45,30,0.106,0.0254,0.0000,76.2
10%,"1,692",25,25,0.110,0.0254,0.0000,104.8
10%,"1,692",25,30,0.106,0.0254,0.0000,101.6
10%,"1,692",30,25,0.110,0.0254,0.0000,87.3
10%,"1,692",30,30,0.106,0.0254,0.0000,84.7
10%,"1,692",35,25,0.110,0.0254,0.0000,74.8
10%,"1,692",35,30,0.106,0.0254,0.0000,72.6
10%,"1,1",25,25,0.110,0.0254,0.0000,68.1
10%,"1,1",25,30,0.106,0.0254,0.0000,66.0
10%,"1,1",30,25,0.110,0.0254,0.0000,56.7
10%,"1,1",30,30,0.106,0.0254,0.0000,55.0
10%,"1,1",35,25,0.110,0.0254,0.0000,48.6
10%,"1,1",35,30,0.106,0.0254,0.0000,47.2
6%,"2,285",30,25,0.078,0.0254,0.0000,90.1
6%,"2,285",30,30,0.073,0.0254,0.0000,85.2
6%,"2,285",35,25,0.078,0.0254,0.0000,77.2
6%,"2,285",35,30,0.073,0.0254,0.0000,73.1
6%,"2,285",45,25,0.078,0.0254,0.0000,60.1
6%,"2,285",45,30,0.073,0.0254,0.0000,56.8
6%,"1,692",25,25,0.078,0.0254,0.0000,80.1
6%,"1,692",25,30,0.073,0.0254,0.0000,75.8
6%,"1,692",30,25,0.078,0.0254,0.0000,66.7
6%,"1,692",30,30,0.073,0.0254,0.0000,63.1
6%,"1,692",35,25,0.078,0.0254,0.0000,57.2
6%,"1,692",35,30,0.073,0.0254,0.0000,54.1
6%,"1,1",25,25,0.078,0.0254,0.0000,52.0
6%,"1,1",25,30,0.073,0.0254,0.0000,49.2
6%,"1,1",30,25,0.078,0.0254,0.0000,43.4
6%,"1,1",30,30,0.073,0.0254,0.0000,41.0
6%,"1,1",35,25,0.078,0.0254,0.0000,37.2
6%,"1,1",35,30,0.073,0.0254,0.0000,35.2
4%,"2,285",30,25,0.064,0.0254,0.0000,77.7
4%,"2,285",30,30,0.058,0.0254,0.0000,72.4
4%,"2,285",35,25,0.064,0.0254,0.0000,66.6
4%,"2,285",35,30,0.058,0.0254,0.0000,62.0
4%,"2,285",45,25,0.064,0.0254,0.0000,51.8
4%,"2,285",45,30,0.058,0.0254,0.0000,48.2
4%,"1,692",25,25,0.064,0.0254,0.0000,69.1
4%,"1,692",25,30,0.058,0.0254,0.0000,64.3
4%,"1,692",30,25,0.064,0.0254,0.0000,57.6
4%,"1,692",30,30,0.058,0.0254,0.0000,53.6
4%,"1,692",35,25,0.064,0.0254,0.0000,49.4
4%,"1,692",35,30,0.058,0.0254,0.0000,45.9
4%,"1,1",25,25,0.064,0.0254,0.0000,44.9
4%,"1,1",25,30,0.058,0.0254,0.0000,41.8
4%,"1,1",30,25,0.064,0.0254,0.0000,37.4
4%,"1,1",30,30,0.058,0.0254,0.0000,34.8
4%,"1,1",35,25,0.064,0.0254,0.0000,32.1
4%,"1,1",35,30,0.058,0.0254,0.0000,29.9
10%,"2,285",30,25,0.110,0.0273,0.0000,119.5
10%,"2,285",30,30,0.106,0.0273,0.0000,116.0
10%,"2,285",35,25,0.110,0.0273,0.0000,102.4
10%,"2,285",35,30,0.106,0.0273,0.0000,99.4
10%,"2,285",45,25,0.110,0.0273,0.0000,79.7
10%,"2,285",45,30,0.106,0.0273,0.0000,77.3
10%,"1,692",25,25,0.110,0.0273,0.0000,106.2
10%,"1,692",25,30,0.106,0.0273,0.0000,103.1
10%,"1,692",30,25,0.110,0.0273,0.0000,88.5
10%,"1,692",30,30,0.106,0.0273,0.0000,85.9
10%,"1,692",35,25,0.110,0.0273,0.0000,75.9
10%,"1,692",35,30,0.106,0.0273,0.0000,73.6
10%,"1,1",25,25,0.110,0.0273,0.0000,69.0
10%,"1,1",25,30,0.106,0.0273,0.0000,67.0
10%,"1,1",30,25,0.110,0.0273,0.0000,57.5
10%,"1,1",30,30,0.106,0.0273,0.0000,55.8
10%,"1,1",35,25,0.110,0.0273,0.0000,49.3
10%,"1,1",35,30,0.106,0.0273,0.0000,47.9
6%,"2,285",30,25,0.078,0.0273,0.0000,91.7
6%,"2,285",30,30,0.073,0.0273,0.0000,86.9
6%,"2,285",35,25,0.078,0.0273,0.0000,78.6
6%,"2,285",35,30,0.073,0.0273,0.0000,74.5
6%,"2,285",45,25,0.078,0.0273,0.0000,61.2
6%,"2,285",45,30,0.073,0.0273,0.0000,57.9
6%,"1,692",25,25,0.078,0.0273,0.0000,81.5
6%,"1,692",25,30,0.073,0.0273,0.0000,77.2
6%,"1,692",30,25,0.078,0.0273,0.0000,68.0
6%,"1,692",30,30,0.073,0.0273,0.0000,64.4
6%,"1,692",35,25,0.078,0.0273,0.0000,58.2
6%,"1,692",35,30,0.073,0.0273,0.0000,55.2
6%,"1,1",25,25,0.078,0.0273,0.0000,53.0
6%,"1,1",25,30,0.073,0.0273,0.0000,50.2
6%,"1,1",30,25,0.078,0.0273,0.0000,44.2
6%,"1,1",30,30,0.073,0.0273,0.0000,41.8
6%,"1,1",35,25,0.078,0.0273,0.0000,37.9
6%,"1,1",35,30,0.073,0.0273,0.0000,35.9
4%,"2,285",30,25,0.064,0.0273,0.0000,79.4
